timestamp,adjusted_close,volume
2021-01-01,144.5,100000
2021-01-04,144.51,100050
2021-01-05,145.03,100100
2021-01-06,144.56,100150
2021-01-07,144.6,100200
2021-01-08,145.15,100250
2021-01-11,144.71,100300
2021-01-12,144.78,100350
2021-01-13,145.36,100400
2021-01-14,144.95,100450
2021-01-15,145.05,100500
2021-01-18,145.66,100550
2021-01-19,145.28,100600
2021-01-20,145.41,100650
2021-01-21,146.05,100700
2021-01-22,145.7,100750
2021-01-25,145.86,100800
2021-01-26,146.53,100850
2021-01-27,146.21,100900
2021-01-28,146.4,100950
2021-01-29,147.1,101000
2021-02-01,146.81,101050
2021-02-02,147.03,101100
2021-02-03,147.76,101150
2021-02-04,147.5,101200
2021-02-05,147.75,101250
2021-02-08,148.51,101300
2021-02-09,148.28,101350
2021-02-10,148.56,101400
2021-02-11,149.35,101450
2021-02-12,149.15,101500
2021-02-15,149.46,101550
2021-02-16,150.28,101600
2021-02-17,150.11,101650
2021-02-18,150.45,101700
2021-02-19,151.3,101750
2021-02-22,151.16,101800
2021-02-23,151.53,101850
2021-02-24,152.41,101900
2021-02-25,152.3,101950
2021-02-26,,
2021-03-01,153.61,102050
2021-03-02,153.53,102100
2021-03-03,153.96,102150
2021-03-04,154.9,102200
2021-03-05,154.85,102250
2021-03-08,155.31,102300
2021-03-09,156.28,102350
2021-03-10,156.26,102400
2021-03-11,156.75,102450
2021-03-12,157.75,102500
2021-03-15,157.76,102550
2021-03-16,158.28,102600
2021-03-17,159.31,102650
2021-03-18,159.35,102700
2021-03-19,159.9,102750
2021-03-22,160.96,102800
2021-03-23,161.03,102850
2021-03-24,161.61,102900
2021-03-25,162.7,102950
2021-03-26,162.8,103000
2021-03-29,163.41,103050
2021-03-30,164.53,103100
2021-03-31,164.66,103150
2021-04-01,165.3,103200
2021-04-02,166.45,103250
2021-04-05,166.61,103300
2021-04-06,167.28,103350
2021-04-07,168.46,103400
2021-04-08,168.65,103450
2021-04-09,169.35,103500
2021-04-12,170.56,103550
2021-04-13,170.78,103600
2021-04-14,171.51,103650
2021-04-15,172.75,103700
2021-04-16,173.0,103750
2021-04-19,173.76,103800
2021-04-20,175.03,103850
2021-04-21,175.31,103900
2021-04-22,176.1,103950
2021-04-23,,
2021-04-26,177.71,104050
2021-04-27,178.53,104100
2021-04-28,179.86,104150
2021-04-29,180.2,104200
2021-04-30,181.05,104250
2021-05-03,182.41,104300
2021-05-04,182.78,104350
2021-05-05,183.66,104400
2021-05-06,185.05,104450
2021-05-07,185.45,104500
2021-05-10,186.36,104550
2021-05-11,187.78,104600
2021-05-12,188.21,104650
2021-05-13,189.15,104700
2021-05-14,190.6,104750
2021-05-17,191.06,104800
2021-05-18,192.03,104850
2021-05-19,193.51,104900
2021-05-20,194.0,104950
2021-05-21,195.0,105000
2021-05-24,196.51,105050
2021-05-25,197.03,105100
2021-05-26,198.06,105150
2021-05-27,199.6,105200
2021-05-28,200.15,105250
2021-05-31,201.21,105300
2021-06-01,202.78,105350
2021-06-02,203.36,105400
2021-06-03,204.45,105450
2021-06-04,206.05,105500
2021-06-07,206.66,105550
2021-06-08,207.78,105600
2021-06-09,209.41,105650
2021-06-10,210.05,105700
2021-06-11,211.2,105750
2021-06-14,212.86,105800
2021-06-15,213.53,105850
2021-06-16,214.71,105900
2021-06-17,216.4,105950
2021-06-18,,
2021-06-21,218.31,106050
2021-06-22,220.03,106100
2021-06-23,220.76,106150
2021-06-24,222.0,106200
2021-06-25,223.75,106250
2021-06-28,224.51,106300
2021-06-29,225.78,106350
2021-06-30,227.56,106400
2021-07-01,228.35,106450
2021-07-02,229.65,106500
2021-07-05,231.46,106550
2021-07-06,232.28,106600
2021-07-07,233.61,106650
2021-07-08,235.45,106700
2021-07-09,236.3,106750
2021-07-12,237.66,106800
2021-07-13,239.53,106850
2021-07-14,240.41,106900
2021-07-15,241.8,106950
2021-07-16,243.7,107000
2021-07-19,244.61,107050
2021-07-20,246.03,107100
2021-07-21,247.96,107150
2021-07-22,248.9,107200
2021-07-23,250.35,107250
2021-07-26,252.31,107300
2021-07-27,253.28,107350
2021-07-28,254.76,107400
2021-07-29,256.75,107450
2021-07-30,257.75,107500
2021-08-02,259.26,107550
2021-08-03,261.28,107600
2021-08-04,262.31,107650
2021-08-05,263.85,107700
2021-08-06,265.9,107750
2021-08-09,266.96,107800
2021-08-10,268.53,107850
2021-08-11,270.61,107900
2021-08-12,271.7,107950
2021-08-13,,
2021-08-16,275.41,108050
2021-08-17,276.53,108100
2021-08-18,278.16,108150
2021-08-19,280.3,108200
2021-08-20,281.45,108250
2021-08-23,283.11,108300
2021-08-24,285.28,108350
2021-08-25,286.46,108400
2021-08-26,288.15,108450
2021-08-27,290.35,108500
2021-08-30,291.56,108550
2021-08-31,293.28,108600
2021-09-01,295.51,108650
2021-09-02,296.75,108700
2021-09-03,298.5,108750
2021-09-06,300.76,108800
2021-09-07,302.03,108850
2021-09-08,303.81,108900
2021-09-09,306.1,108950
2021-09-10,307.4,109000
2021-09-13,309.21,109050
2021-09-14,311.53,109100
2021-09-15,312.86,109150
2021-09-16,314.7,109200
2021-09-17,317.05,109250
2021-09-20,318.41,109300
2021-09-21,320.28,109350
2021-09-22,322.66,109400
2021-09-23,324.05,109450
2021-09-24,325.95,109500
2021-09-27,328.36,109550
2021-09-28,329.78,109600
2021-09-29,331.71,109650
2021-09-30,334.15,109700
2021-10-01,335.6,109750
2021-10-04,337.56,109800
2021-10-05,340.03,109850
2021-10-06,341.51,109900
2021-10-07,343.5,109950
2021-10-08,,
2021-10-11,347.51,110050
2021-10-12,349.53,110100
2021-10-13,352.06,110150
2021-10-14,353.6,110200
2021-10-15,355.65,110250
2021-10-18,358.21,110300
2021-10-19,359.78,110350
2021-10-20,361.86,110400
2021-10-21,364.45,110450
2021-10-22,366.05,110500
